,Unnamed: 0,Unnamed: 0.1,0,1,2,3,4,5
0,0,0,40.07585,116.327816666667,2007-04-14,00:56:28,"Unnamed Road, Changping Qu, Beijing Shi, 중국",0
1,1,1,40.0758333333333,116.327583333333,2007-04-14,00:56:46,0,0
2,2,2,40.076,116.32756666666701,2007-04-14,00:59:24,0,0
3,3,3,40.0763,116.3275,2007-04-14,00:59:50,0,0
4,4,4,40.0766,116.327416666667,2007-04-14,01:00:15,0,0
5,5,5,40.0768666666667,116.327366666667,2007-04-14,01:00:35,0,0
6,6,6,40.0770666666667,116.327333333333,2007-04-14,01:00:49,0,0
7,7,7,40.0772333333333,116.327266666667,2007-04-14,01:01:01,0,0
8,8,8,40.0774666666667,116.327216666667,2007-04-14,01:01:17,0,0
9,9,9,40.0776666666667,116.32711666666701,2007-04-14,01:01:32,0,0
10,10,10,40.0777166666667,116.3269,2007-04-14,01:01:44,0,0
11,11,11,40.0776,116.32671666666701,2007-04-14,01:02:05,0,0
12,12,12,40.0774833333333,116.326783333333,2007-04-14,01:02:26,0,0
13,13,13,40.0772333333333,116.3256,2007-04-14,01:02:50,0,0
14,14,14,40.0776666666667,116.327716666667,2007-04-14,01:02:53,0,0
15,15,15,40.0774833333333,116.3266,2007-04-14,01:03:09,0,0
16,16,16,40.07725,116.326,2007-04-14,01:03:36,0,0
17,17,17,40.077133333333286,116.32575,2007-04-14,01:03:48,0,0
18,18,18,40.0771,116.32535,2007-04-14,01:03:57,0,0
19,19,19,40.0770833333333,116.325116666667,2007-04-14,01:04:13,0,0
20,20,20,40.0772166666667,116.32568333333299,2007-04-14,01:04:25,0,0
21,21,21,40.077133333333286,116.32536666666701,2007-04-14,01:04:38,0,0
22,22,22,40.076933333333294,116.324683333333,2007-04-14,01:05:00,0,0
23,23,23,40.0768833333333,116.32448333333299,2007-04-14,01:05:12,0,0
24,24,24,40.07671666666671,116.323766666667,2007-04-14,01:05:31,0,0
25,25,25,40.0766833333333,116.323366666667,2007-04-14,01:05:42,0,0
26,26,26,40.0768333333333,116.323033333333,2007-04-14,01:06:02,0,0
27,27,27,40.07685,116.3227,2007-04-14,01:06:21,0,0
28,28,28,40.0766666666667,116.3222,2007-04-14,01:07:08,0,0
29,29,29,40.0766166666667,116.321866666667,2007-04-14,01:08:17,0,0
30,30,30,40.0764833333333,116.32183333333299,2007-04-14,01:10:40,"101 Hui Long Guan Xi Da Jie, Changping Qu, Beijing Shi, 중국 100192",0
31,31,31,40.0735,116.30691666666701,2007-04-14,01:17:39,0,0
32,32,32,40.07201666666671,116.307583333333,2007-04-14,01:18:39,0,0
33,33,33,40.07065,116.30858333333299,2007-04-14,01:18:41,0,0
34,34,34,40.069933333333296,116.30885,2007-04-14,01:18:50,0,0
35,35,35,40.0691,116.309583333333,2007-04-14,01:19:01,0,0
36,36,36,40.0686833333333,116.310383333333,2007-04-14,01:19:04,0,0
37,37,37,40.0683166666667,116.310916666667,2007-04-14,01:19:22,0,0
38,38,38,40.067266666666704,116.311433333333,2007-04-14,01:19:25,0,0
39,39,39,40.066433333333286,116.312233333333,2007-04-14,01:19:38,0,0
40,40,40,40.06556666666671,116.313233333333,2007-04-14,01:19:49,0,0
41,41,41,40.064983333333295,116.31336666666701,2007-04-14,01:19:56,0,0
42,42,42,40.062233333333296,116.315366666667,2007-04-14,01:20:31,0,0
43,43,43,40.05995,116.317783333333,2007-04-14,01:21:05,0,0
44,44,44,40.0584,116.31855,2007-04-14,01:21:27,0,0
45,45,45,40.058066666666704,116.31875,2007-04-14,01:22:18,0,0
46,46,46,40.0571333333333,116.317916666667,2007-04-14,01:22:41,0,0
47,47,47,40.0572,116.318316666667,2007-04-14,01:22:45,0,0
48,48,48,40.057233333333286,116.31855,2007-04-14,01:23:04,0,0
49,49,49,40.05725,116.318716666667,2007-04-14,01:25:18,0,0
50,50,50,40.0562666666667,116.3207,2007-04-14,01:27:11,0,0
51,51,51,40.0558333333333,116.320466666667,2007-04-14,01:27:41,0,0
52,52,52,40.055716666666704,116.32045,2007-04-14,01:28:13,0,0
53,53,53,40.0551833333333,116.3215,2007-04-14,01:28:27,0,0
54,54,54,40.0552833333333,116.32103333333299,2007-04-14,01:28:30,0,0
55,55,55,40.056183333333294,116.32115,2007-04-14,01:31:03,0,0
56,56,56,40.054066666666714,116.32196666666701,2007-04-14,01:31:06,0,0
57,57,57,40.0509833333333,116.324083333333,2007-04-14,01:34:43,0,0
58,58,58,40.0509166666667,116.324233333333,2007-04-14,01:35:02,0,0
59,59,59,40.05105,116.3241,2007-04-14,01:35:16,0,0
60,60,60,40.05101666666671,116.323883333333,2007-04-14,01:35:35,"진깡기안, 하이디안, 비징시, 중국",0
61,61,61,40.050833333333294,116.3234,2007-04-14,01:36:20,0,0
62,62,62,40.0506666666667,116.322933333333,2007-04-14,01:36:53,0,0
63,63,63,40.050566666666704,116.322666666667,2007-04-14,01:37:10,0,0
64,64,64,40.0507166666667,116.322916666667,2007-04-14,01:38:01,0,0
65,65,65,40.0508666666667,116.32335,2007-04-14,01:38:33,0,0
66,66,66,40.0509333333333,116.32355,2007-04-14,01:38:48,0,0
67,67,67,40.05105,116.32395,2007-04-14,01:39:28,0,0
68,68,68,40.05095,116.324083333333,2007-04-14,01:40:17,0,0
69,69,69,40.0507833333333,116.324233333333,2007-04-14,01:40:32,0,0
70,70,70,40.0506666666667,116.324366666667,2007-04-14,01:40:46,0,0
71,71,71,40.0505,116.324466666667,2007-04-14,01:41:04,0,0
72,72,72,40.0503,116.324633333333,2007-04-14,01:41:26,0,0
73,73,73,40.0501166666667,116.32455,2007-04-14,01:41:50,0,0
74,74,74,40.049783333333295,116.32403333333299,2007-04-14,01:42:36,0,0
75,75,75,40.04965,116.323816666667,2007-04-14,01:42:54,0,0
76,76,76,40.0494666666667,116.323483333333,2007-04-14,01:43:18,0,0
77,77,77,40.04935,116.323283333333,2007-04-14,01:43:49,0,0
78,78,78,40.04905,116.32268333333299,2007-04-14,01:44:33,0,0
79,79,79,40.04891666666671,116.32241666666701,2007-04-14,01:44:48,0,0
80,80,80,40.0488333333333,116.322233333333,2007-04-14,01:45:00,0,0
81,81,81,40.04865,116.3218,2007-04-14,01:45:24,0,0
82,82,82,40.0483833333333,116.321166666667,2007-04-14,01:46:05,0,0
83,83,83,40.04825,116.3209,2007-04-14,01:46:22,0,0
84,84,84,40.0481666666667,116.320733333333,2007-04-14,01:46:37,0,0
85,85,85,40.04795,116.320283333333,2007-04-14,01:47:09,0,0
86,86,86,40.0477666666667,116.32015,2007-04-14,01:47:27,0,0
87,87,87,40.047566666666704,116.3202,2007-04-14,01:47:42,0,0
88,88,88,40.04741666666671,116.3203,2007-04-14,01:47:59,0,0
89,89,89,40.047183333333294,116.320466666667,2007-04-14,01:48:21,0,0
90,90,90,40.0469,116.320683333333,2007-04-14,01:48:46,"Yan Ling Chuan Xiang Jia Chang Cai, Haidian Qu, Beijing Shi, 중국",0
91,91,91,40.046716666666704,116.32085,2007-04-14,01:49:05,0,0
92,92,92,40.0464333333333,116.321083333333,2007-04-14,01:49:27,0,0
93,93,93,40.04611666666671,116.321366666667,2007-04-14,01:49:56,0,0
94,94,94,40.0458166666667,116.32165,2007-04-14,01:50:26,0,0
95,95,95,40.04565,116.321766666667,2007-04-14,01:50:39,0,0
96,96,96,40.0454,116.32196666666701,2007-04-14,01:51:00,0,0
97,97,97,40.0451333333333,116.322183333333,2007-04-14,01:51:23,0,0
98,98,98,40.0449666666667,116.32233333333299,2007-04-14,01:51:36,0,0
99,99,99,40.0447333333333,116.322533333333,2007-04-14,01:51:55,0,0
100,100,100,40.0445833333333,116.32265,2007-04-14,01:52:10,0,0
101,101,101,40.0444,116.32281666666701,2007-04-14,01:52:26,0,0
102,102,102,40.044183333333294,116.323,2007-04-14,01:52:45,0,0
103,103,103,40.0438166666667,116.3233,2007-04-14,01:53:21,0,0
104,104,104,40.04365,116.323466666667,2007-04-14,01:53:40,0,0
105,105,105,40.043533333333286,116.32361666666701,2007-04-14,01:53:55,0,0
106,106,106,40.0432333333333,116.323833333333,2007-04-14,01:54:25,0,0
107,107,107,40.0430166666667,116.323966666667,2007-04-14,01:54:46,0,0
108,108,108,40.0428333333333,116.32415,2007-04-14,01:55:05,0,0
109,109,109,40.0426333333333,116.3243,2007-04-14,01:55:25,0,0
110,110,110,40.0425,116.3244,2007-04-14,01:55:39,0,0
111,111,111,40.0423166666667,116.32455,2007-04-14,01:56:01,0,0
112,112,112,40.0421333333333,116.324683333333,2007-04-14,01:56:17,0,0
113,113,113,40.0419166666667,116.32488333333299,2007-04-14,01:56:40,0,0
114,114,114,40.0417833333333,116.324983333333,2007-04-14,01:57:01,0,0
115,115,115,40.0414,116.32525,2007-04-14,01:57:34,0,0
116,116,116,40.04116666666671,116.325383333333,2007-04-14,01:57:56,0,0
117,117,117,40.0409166666667,116.325516666667,2007-04-14,01:58:20,0,0
118,118,118,40.0407,116.32555,2007-04-14,01:58:41,0,0
119,119,119,40.0404166666667,116.32576666666701,2007-04-14,01:59:05,0,0
120,120,120,40.0402666666667,116.325833333333,2007-04-14,01:59:23,"징구후後亞유꽁市, heidyan큐, 非징市, 中國",0
121,121,121,40.04005,116.325883333333,2007-04-14,01:59:45,0,0
122,122,122,40.0398833333333,116.326,2007-04-14,02:00:03,0,0
123,123,123,40.03965,116.326116666667,2007-04-14,02:00:25,0,0
124,124,124,40.0395,116.326233333333,2007-04-14,02:00:37,0,0
125,125,125,40.0393166666667,116.326466666667,2007-04-14,02:00:55,0,0
126,126,126,40.0392,116.326333333333,2007-04-14,02:01:25,0,0
127,127,127,40.03915,116.325516666667,2007-04-14,02:02:36,0,0
128,128,128,40.03915,116.3251,2007-04-14,02:03:05,0,0
129,129,129,40.0391666666667,116.324616666667,2007-04-14,02:03:39,0,0
130,130,130,40.0391666666667,116.324333333333,2007-04-14,02:04:00,0,0
131,131,131,40.03915,116.323933333333,2007-04-14,02:04:29,0,0
132,132,132,40.03915,116.3232,2007-04-14,02:05:22,0,0
133,133,133,40.03915,116.321366666667,2007-04-14,02:07:11,0,0
134,134,134,40.0391666666667,116.321,2007-04-14,02:07:33,0,0
135,135,135,40.0391666666667,116.319933333333,2007-04-14,02:08:31,0,0
136,136,136,40.0392,116.31933333333299,2007-04-14,02:09:05,0,0
137,137,137,40.0391666666667,116.317416666667,2007-04-14,02:10:57,0,0
138,138,138,40.03905,116.31726666666701,2007-04-14,02:11:13,0,0
139,139,139,40.0389,116.31721666666701,2007-04-14,02:11:28,0,0
140,140,140,40.0385666666667,116.31718333333299,2007-04-14,02:12:03,0,0
141,141,141,40.038183333333286,116.31713333333299,2007-04-14,02:13:45,0,0
142,142,142,40.03755,116.31726666666701,2007-04-14,02:15:44,0,0
143,143,143,40.036483333333294,116.317316666667,2007-04-14,02:15:58,0,0
144,144,144,40.03581666666671,116.317516666667,2007-04-14,02:16:06,0,0
145,145,145,40.0353166666667,116.3175,2007-04-14,02:16:12,0,0
